Señal_0;Señal_1;Target
0,00;0,95;Estable
0,00;0,86;Estable
0,87;0,76;Alerta
0,02;0,89;Alerta
0,02;0,08;Estable
0,00;0,79;Estable
9,24;0,65;Estable
0,00;0,77;Estable
21,57;0,68;Alerta
0,06;0,98;Alarma
9,70;0,85;Alarma
-2,44;0,81;Estable
0,00;0,73;Estable
0,82;0,87;Alarma
0,02;0,68;Alerta
8,06;0,69;Alerta
0,00;0,66;Estable
0,00;0,71;Alerta
-3,81;0,98;Estable
0,00;0,66;Alerta
0,00;0,47;Estable
-22,43;0,71;Estable
-18,66;0,88;Estable
0,00;0,99;Estable
0,00;0,75;Estable
0,98;0,45;Estable
0,02;0,70;Alerta
0,01;0,99;Alerta
0,01;0,63;Estable
0,00;0,42;Estable
0,00;0,82;Alerta
0,00;0,66;Estable
0,00;0,90;Estable
0,02;0,76;Alerta
0,00;1,00;Estable
-10,87;0,74;Estable
0,09;0,87;Alarma
0,00;0,81;Estable
0,02;0,67;Alerta
0,02;0,76;Alerta
0,00;0,87;Estable
0,02;0,87;Alarma
0,02;0,31;Estable
0,02;0,74;Alerta
13,13;0,45;Estable
0,00;0,82;Estable
0,01;0,50;Estable
0,02;0,99;Alarma
0,00;0,68;Estable
0,00;0,78;Estable
0,00;0,05;Estable
-20,98;0,70;Estable
0,00;0,85;Estable
0,02;0,85;Alarma
0,94;0,67;Alerta
17,13;0,64;Estable
0,63;0,28;Estable
